,Unnamed: 0.1,Unnamed: 0,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
40,40,40,NueGo,Electric A/C Seater (2+2),23:30,06:30,07h 00m,332.0,32 Seats available,4.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
41,41,41,Tirumala Xpress,A/C Sleeper (2+1),23:00,05:50,06h 50m,499.0,28 Seats available,4.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
42,42,42,LVP Travels,A/C Seater / Sleeper (2+1),22:19,04:45,06h 26m,560.0,24 Seats available,4.1,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
43,43,43,Yolo Bus,A/C Seater / Sleeper (2+1),22:46,04:31,05h 45m,470.0,28 Seats available,4.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
44,44,44,NueGo,Electric A/C Seater/Sleeper (2+1),10:30,17:05,06h 35m,332.0,24 Seats available,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
45,45,45,LVR Travels,Non A/C Seater / Sleeper (2+1),23:37,05:45,06h 08m,449.0,23 Seats available,3.9,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
46,46,46,Sri Durga Malleswari Travels,A/C Sleeper (2+1),23:10,04:35,05h 25m,609.0,27 Seats available,4.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
47,47,47,V Kaveri Travels,A/C Seater / Sleeper (2+1),23:00,04:15,05h 15m,500.0,19 Seats available,4.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
48,48,48,Sri KVR Travels,NON A/C Sleeper (2+1),23:01,05:31,06h 30m,500.0,26 Seats available,4.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
49,49,49,NueGo,Electric A/C Seater (2+2),22:00,05:20,07h 20m,384.0,27 Seats available,3.9,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
50,50,50,Go Tour Travels and Holidays,A/C Seater / Sleeper (2+1),22:48,04:15,05h 27m,590.0,23 Seats available,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
51,51,51,IntrCity SmartBus,A/C Seater / Sleeper (2+1),00:15,05:55,05h 40m,576.0,42 Seats available,4.7,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
52,52,52,Zingbus Plus,A/C Seater / Sleeper (2+1),23:35,06:30,06h 55m,445.0,33 Seats available,4.2,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
53,53,53,Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),22:55,05:15,06h 20m,700.0,28 Seats available,3.6,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
54,54,54,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),23:00,05:15,06h 15m,400.0,29 Seats available,3.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
55,55,55,Mythri Tours And Travels,A/C Sleeper (2+1),19:10,02:28,07h 18m,748.0,18 Seats available,4.6,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
56,56,56,Anjani Bus,A/C Seater / Sleeper (2+1),22:45,04:40,05h 55m,399.0,33 Seats available,3.6,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
57,57,57,Orange Tours And Travels,A/C Sleeper (2+1),22:25,04:45,06h 20m,700.0,28 Seats available,3.6,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
58,58,58,Pavan Tours and Travels,A/C Sleeper (2+1),23:00,04:55,05h 55m,475.0,26 Seats available,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
59,59,59,BSR Tours And Travels,VE A/C Sleeper (2+1),22:00,04:10,06h 10m,880.0,11 Seats available,4.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
60,60,60,Zingbus Plus,A/C Sleeper (2+1),16:10,23:45,07h 35m,542.0,28 Seats available,4.7,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
61,61,61,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),23:00,05:00,06h 00m,400.0,42 Seats available,3.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
62,62,62,Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),22:55,05:15,06h 20m,700.0,24 Seats available,3.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
63,63,63,Sri Durga Malleswari Travels,A/C Seater / Sleeper (2+1),21:00,04:40,07h 40m,406.0,30 Seats available,4.2,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
64,64,64,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),23:00,05:30,06h 30m,500.0,38 Seats available,3.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
65,65,65,Prasanna Travels,A/C Seater / Sleeper (2+1),23:55,06:15,06h 20m,400.0,26 Seats available,3.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
66,66,66,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),23:13,04:20,05h 07m,460.0,28 Seats available,3.9,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
67,67,67,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),23:00,05:30,06h 30m,400.0,36 Seats available,3.2,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
68,68,68,NueGo,Electric A/C Seater (2+2),09:30,17:10,07h 40m,379.0,20 Seats available,3.8,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
69,69,69,GO BUS,Non A/C Seater / Sleeper (2+1),22:47,04:50,06h 03m,428.0,30 Seats available,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
70,70,70,Morning Star Travels,A/C Sleeper (2+1),23:05,05:20,06h 15m,692.0,27 Seats available,3.2,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
71,71,71,Orange Tours And Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:55,05:15,06h 20m,500.0,41 Seats available,3.1,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
72,72,72,Sri Atluri Travels,NON A/C Hi-Tech (2+2),22:15,04:20,06h 05m,400.0,31 Seats available,4.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
73,73,73,Nani Svkdt Travels,A/C Sleeper (2+1),23:20,04:25,05h 05m,674.0,22 Seats available,3.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
74,74,74,Sri Venkata Padmavathi Travels,Non A/C Seater / Sleeper (2+1),22:42,06:00,07h 18m,550.0,41 Seats available,4.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
75,75,75,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),22:30,05:15,06h 45m,400.0,24 Seats available,3.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
76,76,76,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),22:55,04:45,05h 50m,400.0,32 Seats available,3.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
77,77,77,Nani Svkdt Travels,A/C Sleeper (2+1),23:20,04:30,05h 10m,674.0,20 Seats available,3.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
78,78,78,IntrCity SmartBus,A/C Seater / Sleeper (2+1),19:05,03:00,07h 55m,598.0,42 Seats available,4.9,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
79,79,79,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),19:45,03:55,08h 10m,400.0,35 Seats available,3.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
80,80,80,Kaveri Travels,A/C Volvo B11R Multi-Axle Sleeper (2+1),22:18,04:05,05h 47m,750.0,23 Seats available,3.7,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
81,81,81,PRK Travels,Non A/C Seater / Sleeper (2+1),22:13,05:25,07h 12m,449.0,22 Seats available,3.9,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
82,82,82,IntrCity SmartBus,AC Sleeper (2+1),20:40,03:30,06h 50m,935.0,29 Seats available,5.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
83,83,83,Morning Star Travels,A/C Sleeper (2+1),23:20,05:25,06h 05m,790.0,27 Seats available,3.1,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
84,84,84,V Kaveri Travels,Non A/C Seater / Sleeper (2+1),22:22,04:30,06h 08m,500.0,22 Seats available,3.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
85,85,85,Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),22:15,04:25,06h 10m,500.0,43 Seats available,3.2,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
86,86,86,Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),22:20,05:30,07h 10m,450.0,31 Seats available,3.9,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
87,87,87,SLGT Travels,A/C Seater/Sleeper (2+1),22:30,04:30,06h 00m,475.0,30 Seats available,0.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
88,88,88,Naveen Tours and Travels,A/C Seater/Sleeper (2+1),19:10,04:15,09h 05m,3999.0,44 Seats available,0.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
89,89,89,Naveen Tours and Travels,A/C Seater / Sleeper (2+1),19:10,04:15,09h 05m,550.0,36 Seats available,0.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
90,90,90,YNR Travels,A/C Sleeper (2+1),00:20,06:10,05h 50m,2850.0,32 Seats available,0.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
91,91,91,Orange Tours And Travels,A/C Sleeper (2+1),23:00,04:45,05h 45m,600.0,31 Seats available,3.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
92,92,92,V Kaveri Travels,Non A/C Seater / Sleeper (2+1),22:25,04:30,06h 05m,560.0,26 Seats available,3.9,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
93,93,93,Sudha Sri Tours and Travels,A/C Sleeper (2+1),22:55,04:00,05h 05m,500.0,27 Seats available,3.3,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
94,94,94,Prasanna Travels,A/C Seater / Sleeper (2+1),23:40,05:35,05h 55m,400.0,23 Seats available,3.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
95,95,95,SVR Tours and Travels,Volvo Multi Axle Sleeper B11R (2+1),17:15,23:50,06h 35m,800.0,33 Seats available,3.0,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
96,96,96,Eswar Travels,A/C Seater / Sleeper (2+1),22:25,04:30,06h 05m,549.0,26 Seats available,3.2,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
97,97,97,IntrCity SmartBus,AC Sleeper (2+1),16:40,00:20,07h 40m,935.0,30 Seats available,4.6,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
98,98,98,Sri Krishna Travels,A/C Seater / Sleeper (2+1),21:30,04:00,06h 30m,750.0,18 Seats available,3.1,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
99,99,99,Sri Sai Srinivasa Travels,Non A/C Seater / Sleeper (2+1),22:10,04:30,06h 20m,500.0,39 Seats available,3.4,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
100,100,100,Royal Varma Travels,A/C Sleeper (2+1),22:37,04:45,06h 08m,800.0,30 Seats available,3.8,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
101,101,101,Sai RK Travels,Non A/C Seater / Sleeper (2+1),23:00,04:35,05h 35m,399.0,27 Seats available,3.5,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
102,102,102,Go Tour Travels and Holidays,A/C Sleeper (2+1),22:48,04:15,05h 27m,890.0,20 Seats available,3.7,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
103,103,103,Orange Tours And Travels,A/C Sleeper (2+1),22:20,04:40,06h 20m,900.0,34 Seats available,3.1,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
