,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name,Origin,Destination
13061,Lavish Travels,A/C Seater / Sleeper (2+2),18:15,01:00,06h 45m,629.0,46 Seats available,3.6,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
13062,Shiv Mohan Travels,AC Sleeper (2+1),18:20,00:50,06h 30m,557.0,36 Seats available,4.3,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
13063,Ram Dalal Holidays,Volvo 9600 A/C Semi Sleeper (2+2),18:30,22:45,04h 15m,648.0,37 Seats available,4.5,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
13064,Malana Travels,Bharat Benz A/C Semi Sleeper (2+2),18:30,23:30,05h 00m,570.0,31 Seats available,4.8,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
13065,Laxmi holidays,Volvo A/C Semi Sleeper (2+2),18:30,23:30,05h 00m,523.0,40 Seats available,3.7,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
13066,IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),18:30,01:00,06h 30m,575.0,40 Seats available,5.0,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
13067,Ram Dalal Holidays,A/C Seater/Sleeper (2+1),18:30,00:05,05h 35m,509.0,41 Seats available,4.8,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
13068,Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),18:30,23:45,05h 15m,474.0,50 Seats available,4.7,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
13069,IntrCity SmartBus,Volvo 9600 A/C Semi Sleeper (2+2),18:35,01:10,06h 35m,509.0,40 Seats available,4.6,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
13070,City Land Travels,Scania Multi-Axle AC Semi Sleeper (2+2),18:40,00:00,05h 20m,540.0,49 Seats available,3.6,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Delhi,Chandigarh
